fr24_id,flight,callsign,operating_as,painted_as,type,reg,orig_icao,orig_iata,datetime_takeoff,runway_takeoff,dest_icao,dest_iata,dest_icao_actual,dest_iata_actual,datetime_landed,runway_landed,flight_time,actual_distance,circle_distance,category,hex,first_seen,last_seen,flight_ended
38b9426e,RFF8877,RFF8877,CHD,RFF,T154,RA-85155,UUMU,CKL,2025-01-14T18:29:48Z,,OSLK,LTK,OSLK,LTK,2025-01-14T22:06:53Z,,13025.0,2889.42,2277.75,Military_and_government,154CA3,2025-01-14T18:30:35Z,2025-01-14T22:05:48Z,True
38bc29ae,RFF406,RFF406,TTF,RFF,IL76,RA-78835,,,,,OSLK,LTK,OSLK,LTK,2025-01-15T17:25:43Z,,,696.646,509.781,Military_and_government,1533F3,2025-01-15T16:30:17Z,2025-01-15T17:17:47Z,True
38c61856,RFF303,RFF303,CHD,RFF,T154,RA-85155,OSLK,LTK,2025-01-18T06:59:17Z,,,,,,,,,3404.35,4.38788,Military_and_government,154CA3,2025-01-18T07:00:58Z,2025-01-18T13:52:31Z,True
38c76f6c,RFF8878,RFF8878,CHD,RFF,T154,RA-85155,OSLK,LTK,2025-01-18T17:30:39Z,35R,UUMU,CKL,UUMU,CKL,2025-01-18T21:21:12Z,,13833.0,2866.22,2271.22,Military_and_government,154CA3,2025-01-18T17:32:21Z,2025-01-18T21:19:43Z,True
397033b4,RFF9930,RFF9930,TTF,RFF,A124,RA-82040,,,,,OSLK,LTK,OSLK,LTK,2025-03-11T17:52:54Z,,,378.581,261.317,Military_and_government,154078,2025-03-11T17:22:26Z,2025-03-11T17:51:47Z,True
3974b553,RFF8071,RFF8071,RFF,RFF,IL76,RA-78830,,,,,OSLK,LTK,OSLK,LTK,2025-03-13T03:02:26Z,,,1451.35,1070.2,Military_and_government,1533EE,2025-03-13T00:47:35Z,2025-03-13T03:02:23Z,True
397544cb,RFF8069,RFF8069,RFF,RFF,IL76,RA-78840,UUMU,CKL,2025-03-13T06:15:39Z,,OSLK,LTK,OSLK,LTK,2025-03-13T10:43:09Z,,16050.0,2902.47,2302.58,Military_and_government,1533F8,2025-03-13T06:19:52Z,2025-03-13T10:43:10Z,True
3975b17d,RFF8072,RFF8072,RFF,RFF,IL76,RA-78830,OSLK,LTK,2025-03-13T10:17:12Z,,UUMU,CKL,UUMU,CKL,2025-03-13T15:18:32Z,,18080.0,2847.26,2275.81,Military_and_government,1533EE,2025-03-13T10:18:31Z,2025-03-13T15:19:26Z,True
3976d70b,RFF408,RFF408,RFF,RFF,IL76,RA-78840,OSLK,LTK,2025-03-13T17:08:19Z,,,,,,,,,2555.97,2.80999,Military_and_government,1533F8,2025-03-13T17:11:09Z,2025-03-14T01:46:25Z,True
397bb2b8,,78352,RFF,RFF,IL76,RA-78840,OSLK,LTK,2025-03-15T06:01:19Z,,,,,,,,,2408.08,2003.97,Military_and_government,1533F8,2025-03-15T06:05:10Z,2025-03-15T13:32:40Z,True
39a483c0,RFF8092,RFF8092,CHD,RFF,T154,RA-85042,OSLK,LTK,2025-03-27T17:58:43Z,35L,UUMU,CKL,UUMU,CKL,2025-03-27T22:24:17Z,,15934.0,3559.46,2272.74,Military_and_government,154C32,2025-03-27T14:17:59Z,2025-03-27T22:23:34Z,True
39d02689,RFF8128,RFF8128,RFF,RFF,T154,RA-85559,OSLK,LTK,2025-04-09T14:07:10Z,,OSLK,LTK,OSLK,LTK,2025-04-09T12:16:56Z,,-6614.0,3033.74,2251.83,Military_and_government,154E37,2025-04-09T08:20:16Z,2025-04-09T17:33:57Z,True
39d1b598,RFF8122,RFF8122,RFF,RFF,IL76,RA-78847,OSLK,LTK,2025-04-10T05:17:34Z,,OSLK,LTK,OSLK,LTK,2025-04-09T21:16:23Z,,-28871.0,3136.55,2276.3,Military_and_government,1533FF,2025-04-09T16:18:54Z,2025-04-10T09:38:41Z,True
39eeaa51,RFF8123,RFF8123,RFF,RFF,IL76,RA-78830,UUMU,CKL,2025-04-17T08:17:21Z,,OSLK,LTK,OSLK,LTK,2025-04-17T12:46:58Z,,16177.0,3018.09,2267.53,Military_and_government,1533EE,2025-04-17T08:20:33Z,2025-04-17T12:46:15Z,True
39f43b90,RFF8124,RFF8124,RFF,RFF,IL76,RA-78830,OSLK,LTK,2025-04-18T17:09:39Z,,UUMU,CKL,UUMU,CKL,2025-04-18T22:03:19Z,,17620.0,3115.47,2300.86,Military_and_government,1533EE,2025-04-18T17:13:17Z,2025-04-18T22:02:33Z,True
39f6774c,,,RFF,RFF,IL62,RA-86496,UUMU,CKL,2025-04-19T09:47:01Z,,OSLK,LTK,OSLK,LTK,2025-04-19T13:43:51Z,,14210.0,3183.93,2309.76,Military_and_government,1551E0,2025-04-19T09:51:11Z,2025-04-19T13:43:31Z,True
3a1ff6d9,,,RFF,RFF,IL62,RA-86496,,,,,OSLK,LTK,OSLK,LTK,2025-04-30T12:40:18Z,,,685.142,612.993,Military_and_government,1551E0,2025-04-30T11:47:27Z,2025-04-30T12:39:33Z,True
3a2093db,,,RFF,RFF,IL62,RA-86496,OSLK,LTK,2025-04-30T14:36:35Z,,,,,,,,,2952.62,2218.42,Military_and_government,1551E0,2025-04-30T14:37:56Z,2025-04-30T18:23:41Z,True
3a3039d3,RFF401,RFF401,TTF,RFF,A124,RA-82030,OSLK,LTK,2025-05-04T18:34:45Z,,,,,,,,,1495.22,1375.39,Military_and_government,15406E,2025-05-04T18:38:51Z,2025-05-04T20:47:54Z,True
3a4bfe54,RFF8184,RFF8184,TTF,RFF,A124,RA-82030,OSLK,LTK,2025-05-12T05:01:17Z,,,,,,,,,1098.88,789.35,Military_and_government,15406E,2025-05-12T05:01:21Z,2025-05-12T06:28:21Z,True
3a55b4b0,RFF8186,RFF8186,RFF,RFF,T154,RA-85563,OSLK,LTK,2025-05-14T17:35:05Z,,,,,,,,,2292.16,1817.11,Military_and_government,149C77,2025-05-14T17:39:32Z,2025-05-14T21:07:39Z,True
3a5c15da,,,RFF,RFF,IL62,RA-86496,OSLK,LTK,2025-05-16T09:44:50Z,35R,UUMU,CKL,UUMU,CKL,2025-05-16T13:37:01Z,,13931.0,2952.16,2282.28,Military_and_government,1551E0,2025-05-16T09:46:00Z,2025-05-16T13:36:01Z,True
3a7814a4,RFF402,RFF402,RFF,RFF,IL76,RA-78850,OSLK,LTK,2025-05-23T17:17:48Z,,OSLK,LTK,OSLK,LTK,2025-05-24T03:19:36Z,,36108.0,1439.5,16.5996,Military_and_government,153402,2025-05-23T17:18:46Z,2025-05-24T03:19:20Z,True
3a7a0d48,RFF8186,RFF8186,RFF,RFF,IL76,RA-78850,OSLK,LTK,2025-05-24T06:06:01Z,,UUBW,ZIA,UUBW,ZIA,2025-05-24T10:32:59Z,,16018.0,2895.42,2235.21,Military_and_government,153402,2025-05-24T06:07:45Z,2025-05-24T10:32:18Z,True
3aa4470a,,96944,RFF,RFF,IL62,RA-86559,OSLK,LTK,2025-06-04T11:03:38Z,,,,,,,,,4641.95,2220.88,Military_and_government,15521F,2025-06-04T11:04:36Z,2025-06-04T22:30:43Z,True
3aced69c,,,RFF,RFF,IL62,RA-86539,UUMU,CKL,2025-06-15T08:43:31Z,,OSLK,LTK,OSLK,LTK,2025-06-15T12:52:44Z,,14953.0,2997.58,2288.98,Military_and_government,15520B,2025-06-15T08:48:40Z,2025-06-15T12:50:11Z,True
